ID,Model,Dataset,Epoch,BS,Run_Env,CPU_Util_%_ran,Max_CPU_Util_%,Min_CPU_Util_%,GPU_Util_%_ran,MGUP,Min_GPU_Util_%,Sys_Mem_Util_%_ran,Max_Sys_Mem_Util_%,Min_Sys_Mem_Util_%,MaPMiU(non swap),PMiU(non swap)_%,CPU_Thds,GPU_Temp_ran,Max_GPU_Temp,Min_GPU_Temp,GTSAMPR,MaGTSAMP,MiGTSAMP,MGMAP,GPUPR,MaGPUPR,MiGPUPR,SCT_user,SCT_nice,SCT_sys,SCT_idle,SCT_iowait,SCT_irq,SCT_softirq,SCT_steal,SCT_guest,SCT_guest_nice,Cor_in_Sys,CS_ctx_switches,CS_interrupts,CS_soft_interrupts,CS_syscalls,SMU_total,SMU_available,SMU_percent,SMU_used,SMU_free,SMU_active,SMU_inactive,SMU_buffers,SMU_cached,SMU_shared,SMU_slab,DU_total,DU_used,DU_free,DU_percent,NIOB_sent,NIOB_received,NIOP_sent,NIO_received,NIO_errin,NIO_errout,NIO_dropin,NIO_dropout
1,MobileNet,GTSRB,7,1024,Standard,48.23,90.15,41.92,15.8,46.07,30.27,0.71,24.01,23.3,504.57,3.89,16,22.4,55.4,33,16.07,30.6,14.53,98.05,19.48,45.19,25.71,529.34,0,164.43,3669.93,30.41,0,2.57,0,0,0,2,5115058,3262950,2019054,0,13617745920,10443538432,23.3,5469020160,228315136,3408117760,9165643776,171372544,7749038080,13848576,565587968,1.79135E+11,42799484928,1.36318E+11,23.9,12128807,393421199,32370,36231,0,0,0,0
2,MobileNet,GTSRB,7,256,Standard,60.02,96.92,36.9,11.87,50.6,38.73,10.1,20.77,10.67,94.82,0.73,12,41.2,74.2,33,6.47,26.87,20.4,53.73,14.45,52.94,38.49,594.82,0,106.95,966.93,32.83,0,3.93,0,0,0,2,4581454,2936946,1800074,0,13617745920,10874757120,20.1,3513163776,1516568576,3003600896,8279576576,173420544,8414593024,13848576,574894080,1.79135E+11,42800787456,1.36317E+11,23.9,14000820,395170543,36077,41118,0,0,0,0
3,MobileNet,GTSRB,6,128,Standard,44.39,87.23,42.84,7.86,47.93,40.07,2.76,22.13,19.37,506,3.9,16,15.93,48.93,33,3.94,24.67,20.73,50.73,7.85,39.53,31.68,522.47,0,92.76,1861.89,30.19,0,3.29,0,0,0,2,4720065,2926732,1767205,0,13617745920,10686988288,21.5,3523702784,1500614656,3188310016,8109006848,174702592,8418725888,13840384,574881792,1.79135E+11,42799673344,1.36318E+11,23.9,15310743,396535887,38715,43334,0,0,0,0
4,MobileNet,GTSRB,5,32,Standard,44.62,95.45,50.83,6,39.53,33.53,0.63,22.43,21.8,505.44,3.89,16,38.27,71.27,33,3.86,19.33,15.47,53.73,11.01,43.68,32.67,632.61,0,118.78,1968.52,30.2,0,4.27,0,0,0,2,4640049,2905145,2091671,0,13617745920,10646429696,21.8,3301646336,1691545600,3219673088,7885864960,175005696,8449548288,13848576,574185472,1.79135E+11,42799505408,1.36318E+11,23.9,23061617,404195799,53895,59955,0,0,0,0
5,MobileNet,GTSRB,4,2,Standard,45.63,88.33,42.7,3.83,23.87,20.04,0.5,22.5,22,506.95,3.9,16,6,39,33,0.07,3.07,3,53.73,0.1,17.94,17.84,1115.57,0,153.3,978.05,28.54,0,9.15,0,0,0,2,12433774,6675696,3712400,0,13617745920,10624286720,22,3250749440,1682579456,3256168448,7857033216,177344512,8507072512,13848576,577671168,1.79135E+11,42799677440,1.36318E+11,23.9,59890665,440492076,126087,133976,0,0,0,0
6,Nasnet_Mobile,GTSRB,7,1024,Standard,49.38,87.23,37.85,15,89.2,74.2,0.69,23.79,23.1,505.5,3.89,16,40.47,73.47,33,10.93,44.53,33.6,53.73,16.6,68.02,51.42,658.65,0,145.18,3922.51,24.24,0,1.99,0,0,0,2,5324099,3616589,2134840,0,13617745920,10468188160,23.1,5823377408,195284992,3354288128,9253298176,171347968,7427735552,13848576,563322880,1.79135E+11,42808950784,1.36309E+11,23.9,11477878,397071954,28472,31824,0,0,0,0
7,Nasnet_Mobile,GTSRB,7,256,Standard,52.35,89.76,37.41,8.33,80.13,71.8,11.03,21.92,10.89,94.77,0.93,12,36.15,69.15,33,5,37.87,32.87,28.57,9.25,63.03,53.78,643.81,0,92.18,1133.72,27.19,0,2.84,0,0,0,2,5138016,3345501,1794966,0,13617745920,10431676416,23.4,4083441664,911142912,3444269056,8439189504,174825472,8448335872,13848576,576851968,1.79135E+11,42808926208,1.36309E+11,23.9,16145091,401594271,39223,43001,0,0,0,0
8,Nasnet_Mobile,GTSRB,6,128,Standard,47.58,85.61,38.03,5.67,75.8,70.13,0.19,23.59,23.4,505.89,3.9,16,38.07,71.07,33,2.46,33.13,30.67,15.99,8.86,61.69,52.83,643.81,0,92.18,1133.72,27.19,0,2.84,0,0,0,2,5138016,3345501,1794966,0,13617745920,10431676416,23.4,4083441664,911142912,3444269056,8439189504,174825472,8448335872,13848576,576851968,1.79135E+11,42808926208,1.36309E+11,23.9,16145091,401594271,39223,43001,0,0,0,0
9,Nasnet_Mobile,GTSRB,5,32,Standard,46.66,84.86,38.2,4.2,59.13,54.93,0.31,24.11,23.8,505.36,3.89,16,20,53,33,1.64,20.17,18.53,9.7,9.06,43.58,34.52,805.89,0,98.35,2210.34,26.92,0,4.64,0,0,0,2,4091311,3015905,2263541,0,13617745920,10379341824,23.8,3816247296,1144102912,3482259456,8168108032,175431680,8481964032,13848576,577568768,1.79135E+11,42809139200,1.36309E+11,23.9,29694357,414951974,67106,72313,0,0,0,0
10,Nasnet_Mobile,GTSRB,2,2,Standard,53.1,91.39,38.29,6.93,24.73,17.8,0.97,25.5,24.53,505.25,3.89,16,22.87,55.87,33,0,1,1,9.7,1.06,17.42,16.36,1866.23,0,183.46,1473.74,37.18,0,10.65,0,0,0,2,9013204,5786451,4505128,0,13617745920,10178318336,25.3,3930861568,926994432,3685203968,8173490176,181166080,8578723840,13840384,580395008,1.79135E+11,42809368576,1.36308E+11,23.9,88201224,473146960,179939,189070,0,0,0,0
11,EfficientNet_v2,GTSRB,7,1024,Standard,52.68,91.63,38.95,26.27,100,73.73,0.43,25.28,24.85,505.84,3.89,16,40.6,73.6,33,24.8,71.07,46.27,98.05,20.53,80.19,59.66,647.7,0,100.68,1697.8,32.69,0,2.55,0,0,0,2,12322175,6906684,1920358,0,13617745920,10205868032,25.1,6795997184,169144320,3587411968,9043755008,171327488,6481276928,13840384,564682752,1.79135E+11,42874482688,1.36243E+11,23.9,14290737,459874281,32551,36917,0,0,0,0
12,EfficientNet_v2,GTSRB,7,256,Standard,58.47,94.1,35.63,23.8,98.27,74.47,12.15,23.25,11.1,94.91,0.73,12,41,74,33,19.07,62.27,43.2,41.15,19.88,77.25,57.37,662.91,0,106.21,3841.75,27.65,0,3.36,0,0,0,2,13130316,7380241,2286099,0,13617745920,10449657856,23.3,4438323200,407461888,3442114560,8942063616,175271936,8596688896,13840384,579457024,1.79135E+11,42875658240,1.36242E+11,23.9,18746560,464136494,45760,52039,0,0,0,0
13,EfficientNet_v2,GTSRB,6,128,Standard,48.65,81.86,33.21,4,87.93,83.93,0.15,24.61,24.46,505.04,3.89,16,41,74,33,3.47,54,50.53,28.57,3.03,66.85,63.82,608.86,0,79.79,756.66,26.17,0,2.94,0,0,0,2,11038903,6200454,1774297,0,13617745920,10253549568,24.7,4293267456,544505856,3632431104,8615038976,175333376,8604639232,13840384,578768896,1.79135E+11,42874339328,1.36243E+11,23.9,18856534,464571066,44282,49025,0,0,0,0
14,EfficientNet_v2,GTSRB,5,32,Standard,51.46,91.11,39.65,7.2,88.07,80.87,1.5,29.4,27.9,506.55,3.9,16,46.87,79.87,33,7.93,68.8,60.87,18.47,17.42,106.91,89.49,857.63,0,118.73,1266.94,25.42,0,6.52,0,0,0,2,17048905,9589118,2587465,0,13617745920,9671692288,29,4791107584,215519232,4205137920,8387764224,174239744,8436879360,15945728,576471040,1.79135E+11,42874454016,1.36243E+11,23.9,41165249,486807664,88294,98726,0,0,0,0
15,EfficientNet_v2,GTSRB,3,2,Standard,31.31,82.41,51.1,3.4,47.67,44.27,0.61,27.01,26.4,505.75,3.9,16,13.67,46.67,33,0.47,3.87,3.4,15.99,3.13,26.82,23.69,1816.99,0,160.83,2588.56,30.94,0,15.53,0,0,0,2,13899240,8208008,5138165,0,13617745920,10022309888,26.4,4031066112,702763008,3858358272,8222244864,181071872,8702844928,13848576,583114752,1.79135E+11,42874925056,1.36243E+11,23.9,101252044,545782714,212350,225001,0,0,0,0
16,ResNet50,GTSRB,7,1024,Standard,55.76,87.51,31.75,23.53,100,76.47,1.45,26.65,25.2,506.92,3.9,16,41.27,74.27,33,11.93,54,42.07,98.05,20.43,79.16,58.73,560.2,0,78.35,1042.26,31.64,0,2,0,0,0,2,10789043,6010876,1620028,0,13617745920,10190000128,25.2,6418673664,172871680,3604836352,9021915136,171200512,6855000064,13840384,565440512,1.79135E+11,42885206016,1.36233E+11,23.9,13108291,470517927,36933,41959,0,0,0,0
17,ResNet50,GTSRB,7,256,Standard,66.44,100,33.56,9.93,91.6,81.67,12,22.93,10.93,94.86,0.73,12,41.33,74.33,33,8,51.6,43.6,53.78,7.04,74.95,67.91,606.86,0,120.98,1096.32,29.95,0,3.12,0,0,0,2,10899066,6134243,1897336,0,13617745920,10574098432,22.4,4032434176,801513472,3320799232,8671555584,173985792,8609812480,13840384,579887104,1.79135E+11,42886483968,1.36231E+11,23.9,17251506,474534893,46677,53069,0,0,0,0
18,ResNet50,GTSRB,6,128,Standard,53.97,89.45,35.48,26.67,87.87,61.2,1.69,25.3,23.61,505.46,3.89,16,41.07,74.07,33,16.86,49.53,32.67,53.78,29.89,82.84,52.95,599.09,0,100.19,1488.91,27.42,0,3.58,0,0,0,2,9871453,5519830,1913073,0,13617745920,10227142656,24.9,4162592768,660357120,3646025728,8480194560,175857664,8618938368,13840384,580005888,1.79135E+11,42885218304,1.36233E+11,23.9,18311277,475638039,48616,54590,0,0,0,0
19,ResNet50,GTSRB,5,32,Standard,50.99,98.01,47.02,1.6,73,71.4,0.57,24.97,24.4,506.84,3.9,16,41.53,74.53,33,0.8,37.67,36.87,53.78,9.7,65.45,55.75,761.57,0,144.24,2185.04,30.46,0,5.82,0,0,0,2,7914823,4821982,2455263,0,13617745920,10293653504,24.4,3790798848,1008713728,3600330752,8182476800,176275456,8641957888,13848576,581259264,1.79135E+11,42885210112,1.36233E+11,23.9,30448814,487688847,69581,78689,0,0,0,0
20,ResNet50,GTSRB,3,2,Standard,57.58,88.5,30.92,4.34,49.47,45.13,0.57,25.17,24.6,505.94,3.89,16,24,57,33,0.93,11.2,10.27,53.78,3.49,38.99,35.5,1078.87,0,143.44,4380.53,32.97,0,13.37,0,0,0,2,14666783,8063087,3983852,0,13617745920,10259750912,24.7,3729928192,1007009792,3632787456,8150007808,178520064,8702287872,13848576,581562368,1.79135E+11,42885308416,1.36232E+11,23.9,65572636,521947796,143368,149385,0,0,0,0
21,Inception_v3,GTSRB,7,1024,Standard,52.32,82.23,29.91,21,85,64,1.59,25.29,23.7,505.96,3.9,16,40.69,73.69,33,8.74,40.87,32.13,98.05,15.09,73.26,58.17,582.82,0,99.98,4065.9,29.52,0,2.28,0,0,0,2,7406870,4396621,2041687,0,13617745920,10398334976,23.6,6319706112,160571392,3390283776,9249349632,171597824,6965870592,13840384,564895744,1.79135E+11,42875695104,1.36242E+11,23.9,11411867,461908164,32417,37452,0,0,0,0
22,Inception_v3,GTSRB,7,256,Standard,58.12,88.69,30.57,42.8,76.2,33.4,10.5,21.16,10.66,95.04,0.73,12,35.13,68.13,33,19.2,34.13,14.93,53.73,41.76,74.6,32.84,621.47,0,98.1,670.26,24.42,0,2.83,0,0,0,2,6813536,4108331,1766851,0,13617737728,10754781184,21,3801538560,1073176576,3114725376,8607637504,173617152,8569405440,13840384,578088960,1.79135E+11,42876715008,1.36241E+11,23.9,15441276,465821981,40410,45851,0,0,0,0
23,Inception_v3,GTSRB,6,128,Standard,47.15,84.07,36.92,8.33,75.2,66.87,0.37,22.67,22.3,505.84,3.9,16,39.83,72.83,33,3.6,29.53,25.93,53.73,17.9,65.78,47.88,571.44,0,101.74,585.65,28.91,0,2.69,0,0,0,2,6089074,3671829,1664531,0,13617745920,10582310912,22.3,3736309760,1129766912,3293564928,8370163712,175403008,8576266240,13848576,579428352,1.79135E+11,42875686912,1.36242E+11,23.9,16029844,466434273,42951,47248,0,0,0,0
24,Inception_v3,GTSRB,5,32,Standard,41.48,87.53,46.05,4,66.73,62.73,0.04,23.9,23.86,504.96,3.89,16,37,70,33,1.47,21.07,19.6,53.73,6.6,52.19,45.59,620.49,0,84.62,319.09,26.17,0,4.32,0,0,0,2,5923121,3654160,1807051,0,13617745920,10368638976,23.9,3674726400,1159397376,3507953664,8120045568,175562752,8608059392,13848576,580136960,1.79135E+11,42875580416,1.36242E+11,23.9,28380892,478566826,70760,76425,0,0,0,0
25,Inception_v3,GTSRB,3,2,Standard,46.44,82.19,35.75,2.67,51.07,48.4,0.61,23.51,22.9,505.72,3.89,16,15,48,33,12.833,18.633,5.8,53.73,3.66,31.61,27.95,1149.26,0,126.64,1545.84,29.58,0,15.14,0,0,0,2,16450890,8908861,3783643,0,13617745920,10493652992,22.9,3470729216,1282711552,3395125248,8112799744,178597888,8685707264,13840384,582307840,1.79135E+11,42875973632,1.36242E+11,23.9,80305917,529607002,174190,180792,0,0,0,0
26,small_bert/bert_en_uncased_L-4_H-512_A-8,IMDB,3,256,High-RAM,10.54,56.99,46.45,57.2,68.6,11.4,0.47,13.67,13.2,507.27,1.95,20,45.73,78.73,33,44.33,44.33,0,94.15,23.96,86.27,62.31,1898.76,0,432.81,5093.94,24.4,0,11.97,0,0,0,4,115780176,38750895,5345010,0,27332632576,23627067392,13.6,4577820672,17063550976,3929153536,5674868736,194387968,5496872960,26447872,423395328,1.79135E+11,42369216512,1.36749E+11,23.7,30067797,285146821,63557,71053,0,0,0,0
