MaxMemory(MB),AlnairLazy,Alnair,S3
128,14.73,17.05,30.41
128,14.15,15.39,32.57
128,14.23,15.37,31.94
128,14.07,15.37,29.32
128,14.19,15.49,30.80
256,8.22,10.25,21.74
256,7.62,9.06,22.21
256,7.59,8.93,21.12
256,7.74,9.01,22.41
256,7.59,8.83,21.17
512,5.13,6.76,18.92
512,4.68,6.06,18.16
512,4.88,7.09,20.35
512,5.05,7.17,18.75
512,4.64,6.91,17.66
1024,5.19,7.44,19.62
1024,4.98,6.28,17.81
1024,4.59,6.14,18.07
1024,5.07,6.35,17.47
1024,4.80,6.62,18.14
0,5.27,6.46,24.36
0,4.67,6.20,19.52
0,5.09,7.05,19.46
0,4.85,7.13,18.53
0,4.81,6.91,19.66
